"효능및성분별(1)",효능및성분별(2),효능및성분별(3),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
"효능및성분별(1)",효능및성분별(2),효능및성분별(3),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정),처방기관수 (개소),처방의사수 (명),환자수 (명),처방건수 (건),처방량 (개/정)
"항불안제",향정신성의약품,클로바잠,1161,5673,39628,186043,10637192,1221,5705,38365,190106,11226423,1214,5524,36354,192413,11465252,1255,6179,35094,195823,11784063,1206,6110,33447,197030,12075565
"항불안제",향정신성의약품,클로티아제팜,7160,13034,288045,827074,18200075,3498,4500,30126,73858,1540317,997,1099,6056,15222,299945,259,267,1058,1799,36653,6,6,6,6,185
"최면진정제",소계,소계,32578,87909,8446710,25789812,241303523,32880,89102,8078241,25948483,259802196,33468,89802,8997279,27191254,275722106,34117,91834,9276413,27333203,289136657,34762,93317,9579816,27786604,298791945
"최면진정제",향정신성의약품,소계,32578,87909,8446710,25789812,241303523,32880,89102,8078241,25948483,259802196,33468,89802,8997279,27191254,275722106,34117,91834,9276413,27333203,289136657,34762,93317,9579816,27786604,298791945
"최면진정제",향정신성의약품,미다졸람,7979,41793,6583016,7980031,9413007,8227,42422,6204620,7597124,8938761,8458,42567,7149791,8753919,10447753,8793,43822,7374025,8998051,10667681,9199,44914,7647129,9299558,10737951
"최면진정제",향정신성의약품,에스조피클론,1616,1784,15841,23824,307155,2944,4450,72088,241601,3431319,3753,6956,94886,435228,6790794,4143,8524,105266,553886,9460078,4481,9903,118019,646146,11584805
"최면진정제",향정신성의약품,졸피뎀,30375,75596,1837530,11664480,145204375,30566,76081,1808701,11817111,152995204,30963,76293,1805381,11728050,158127597,31506,77981,1869384,11624938,164376815,31951,78689,1886037,11550236,166570241
"최면진정제",향정신성의약품,쿠아제팜,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"최면진정제",향정신성의약품,클로랄히드레이트,897,8654,121711,183916,25455,872,8012,102539,160013,238453,875,7592,100824,161206,278110,850,7415,95012,148644,269255,818,7059,88811,140507,250467
"최면진정제",향정신성의약품,트리아졸람,16368,37301,416123,3270461,34327875,16392,36923,405048,3367651,36504390,16387,36656,397357,3318901,37316529,15935,35959,383423,3126590,36870223,15560,35585,373569,3039190,36482275
